bay_id,st_marker_id,status,location,lat,lon
6065,13052N,Present,"(-37.82103357916686, 144.9433364022451)",-37.82103357916686,144.9433364022451
5173,11607S,Unoccupied,"(-37.81086311637422, 144.95142511877822)",-37.81086311637422,144.95142511877822
2677,10186E,Unoccupied,"(-37.80389685139612, 144.94956921982626)",-37.80389685139612,144.94956921982626
3947,C5862,Unoccupied,"(-37.80526213247293, 144.95375521844215)",-37.80526213247293,144.95375521844215
3027,5123W,Unoccupied,"(-37.803363543058055, 144.95711639661)",-37.803363543058055,144.95711639661
1264,4456E,Unoccupied,"(-37.8138551724101, 144.95468997104118)",-37.8138551724101,144.95468997104118
6053,13028N,Unoccupied,"(-37.821218796590344, 144.94410948147316)",-37.821218796590344,144.94410948147316
4985,9417S,Unoccupied,"(-37.830086551284325, 144.96651645702718)",-37.830086551284325,144.96651645702718
4384,C7202,Unoccupied,"(-37.807619066478324, 144.95279678011752)",-37.807619066478324,144.95279678011752
4271,C6878,Unoccupied,"(-37.80937358030814, 144.95585125657686)",-37.80937358030814,144.95585125657686
3025,5119W,Unoccupied,"(-37.80359102769667, 144.95721410852093)",-37.80359102769667,144.95721410852093
6030,13071S,Present,"(-37.821322287092045, 144.9438011890341)",-37.821322287092045,144.9438011890341
4050,C6138,Unoccupied,"(-37.804293831844774, 144.95241519870225)",-37.804293831844774,144.95241519870225
615,72E,Unoccupied,"(-37.80993497807388, 144.97237175555972)",-37.80993497807388,144.97237175555972
1270,4462E,Unoccupied,"(-37.813703354077106, 144.95461916833347)",-37.813703354077106,144.95461916833347
6034,13079S,Unoccupied,"(-37.82125258940435, 144.9435102512326)",-37.82125258940435,144.9435102512326
628,87W,Unoccupied,"(-37.80893653864281, 144.97180131953928)",-37.80893653864281,144.97180131953928
6745,6621S,Present,"(-37.808482050941095, 144.95967700708283)",-37.808482050941095,144.95967700708283
2244,3932N,Unoccupied,"(-37.81221282649996, 144.9545647431513)",-37.81221282649996,144.9545647431513
5510,11953W,Unoccupied,"(-37.81499544968763, 144.98265330166902)",-37.81499544968763,144.98265330166902
2236,3922N,Unoccupied,"(-37.81212183566778, 144.95488565311987)",-37.81212183566778,144.95488565311987
5907,C9068,Unoccupied,"(-37.80293199839085, 144.9675715117793)",-37.80293199839085,144.9675715117793
3046,5149W,Unoccupied,"(-37.80280546182864, 144.95685528863962)",-37.80280546182864,144.95685528863962
5347,8875W,Unoccupied,"(-37.825353797628004, 144.9606383154937)",-37.825353797628004,144.9606383154937
5357,8895W,Unoccupied,"(-37.824542423653995, 144.96159306132756)",-37.824542423653995,144.96159306132756
3635,7586N,Unoccupied,"(-37.80558417130324, 144.95415795040003)",-37.80558417130324,144.95415795040003
5554,12041W,Unoccupied,"(-37.812567426593496, 144.98306706076198)",-37.812567426593496,144.98306706076198
5926,12813S,Unoccupied,"(-37.803042318039786, 144.96772768939778)",-37.803042318039786,144.96772768939778
5021,9453S,Present,"(-37.830275139404506, 144.9658662466181)",-37.830275139404506,144.9658662466181
1528,1892N,Present,"(-37.81372065885267, 144.97230264023773)",-37.81372065885267,144.97230264023773
6061,13044N,Present,"(-37.82109504413756, 144.94359313381324)",-37.82109504413756,144.94359313381324
2099,3611S,Unoccupied,"(-37.8078340524451, 144.97008448777785)",-37.8078340524451,144.97008448777785
4180,C6628,Present,"(-37.80844275440215, 144.9594691475015)",-37.80844275440215,144.9594691475015
1291,4483W,Unoccupied,"(-37.81285802621315, 144.95397486300203)",-37.81285802621315,144.95397486300203
5548,12029W,Present,"(-37.81292958901017, 144.98300681441947)",-37.81292958901017,144.98300681441947
4310,C6956,Unoccupied,"(-37.809255658086165, 144.95607714143563)",-37.809255658086165,144.95607714143563
6059,13040N,Unoccupied,"(-37.821126302747224, 144.94372360484854)",-37.821126302747224,144.94372360484854
5917,12804N,Unoccupied,"(-37.802795489126595, 144.96721631450913)",-37.802795489126595,144.96721631450913
3843,C5566,Unoccupied,"(-37.80641793309145, 144.9539693463589)",-37.80641793309145,144.9539693463589
4320,C6978,Unoccupied,"(-37.809331444399675, 144.9562035389631)",-37.809331444399675,144.9562035389631
5912,C9088,Unoccupied,"(-37.80295328839999, 144.96776519274866)",-37.80295328839999,144.96776519274866
6064,13050N,Unoccupied,"(-37.82104865070899, 144.94339949099586)",-37.82104865070899,144.94339949099586
