Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),16,13,3,2,11,9,50,72,124,117,154,162,242,273,256,241,204,278,186,118,91,39,52,32
Bourke Street Mall (South),4,10,3,34,1,8,28,51,61,90,92,102,157,146,161,137,140,115,109,60,36,17,19,11
Melbourne Central,33,36,7,9,9,18,44,55,91,93,130,160,134,164,164,154,177,252,189,172,171,105,104,69
Town Hall (West),35,15,5,8,15,28,77,158,205,244,249,332,426,444,397,399,403,445,331,253,148,97,71,34
Princes Bridge,25,22,10,27,44,70,130,171,221,157,207,210,248,284,247,317,318,416,292,237,124,92,69,68
Flinders Street Station Underpass,24,8,2,7,11,81,232,240,252,221,211,197,251,244,284,347,356,429,337,265,136,120,128,65
Birrarung Marr,1,N/A,N/A,N/A,4,8,31,78,62,47,57,60,56,57,62,72,90,111,94,31,16,20,3,10
Webb Bridge,1,N/A,3,2,N/A,6,23,123,126,84,118,119,165,122,107,137,184,279,155,65,26,19,23,7
Southern Cross Station,7,6,2,3,2,34,66,93,161,71,60,67,108,90,93,92,133,152,67,52,36,18,39,12
Victoria Point,N/A,N/A,2,1,N/A,3,13,33,65,50,37,34,47,45,55,40,50,68,63,62,38,32,13,10
Waterfront City,4,N/A,4,N/A,4,4,8,26,27,21,43,37,42,45,43,38,66,87,79,30,25,25,20,16
New Quay,12,7,5,5,11,12,28,96,89,93,116,96,143,160,146,153,184,272,255,162,107,100,73,40
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,4,2,3,N/A,4,28,79,110,119,95,66,68,77,89,93,118,118,169,135,92,42,44,20,24
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),10,7,6,6,3,14,82,82,133,141,160,203,244,236,266,200,147,159,75,63,18,13,26,11
Collins Place (South),5,6,6,4,3,38,96,112,195,148,175,156,201,196,168,128,121,118,69,56,19,19,35,8
Collins Place (North),2,3,3,2,1,9,31,68,130,111,87,81,73,107,84,92,98,105,45,19,14,4,6,3
Chinatown-Swanston St (North),20,138,43,N/A,N/A,9,13,19,18,38,58,75,159,111,119,125,143,139,149,119,79,60,35,10
Chinatown-Lt Bourke St (South),4,12,3,1,N/A,N/A,9,7,22,27,44,42,47,65,59,53,36,54,62,48,15,14,12,11
Bourke St-Russell St (West),8,9,17,12,5,8,25,34,55,96,102,170,218,214,214,168,228,246,218,119,132,80,29,17
Flinders St-Elizabeth St (East),72,53,85,34,60,71,257,440,604,586,565,556,713,716,688,720,878,1003,902,671,496,345,349,158
Spencer St-Collins St (South),7,N/A,N/A,6,N/A,19,39,113,124,72,65,104,143,147,95,92,135,136,123,84,87,66,32,17
Spencer St-Collins St (North),34,22,19,17,22,90,235,310,414,385,262,301,365,391,356,395,461,602,411,243,203,175,149,71
Melbourne Convention Exhibition Centre,26,12,8,6,27,73,185,322,308,301,248,268,331,319,357,417,377,551,424,177,104,112,104,70
QV Market-Elizabeth St (West),37,55,14,23,29,45,118,135,183,285,329,418,574,574,445,294,195,228,196,197,135,84,98,51
QV Market-Peel St,2,5,N/A,6,4,6,12,71,103,96,136,108,158,146,119,73,77,71,78,64,46,24,21,16
The Arts Centre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
St Kilda Rd-Alexandra Gardens,9,3,2,6,1,2,24,41,51,45,55,69,66,61,82,81,100,106,96,48,22,10,6,2
Lonsdale St (South),8,9,1,7,1,16,32,37,44,42,69,77,122,123,125,113,97,121,118,97,73,43,53,15
Lygon St (West),9,14,6,5,1,10,18,37,67,64,58,69,90,91,69,71,82,77,76,50,70,37,26,6
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,2,2,N/A,N/A,N/A,19,20,30,39,55,52,41,41,44,56,33,45,68,34,16,5,10,7,2
Southbank,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32,155,192,218,293,450,338,215,90,43,28,38
